"","text"
"25","I personally would have preferred DISRUPTION from #Malema #EFF just so that I could see these Thugs get thrown out!. #SONA2019 
That #EFFManifesto is going to useless as #EFF will NEVER be a government in waiting. Their are more intellects in South Africa than they believe. https://t.co/l5ezT0frEL"
"26","Tsek! #EFF must be taken to court for 'plagiarizing' because all their so-called ideas are stolen from the #ANC &amp; they decided to accuse the President after #SONA2019 
Glad the Intelligent can see through the #EFFManifesto 
It's a manifesto that the #USA cannot even afford. https://t.co/QIvJa7PQDJ"
"27","This from a broken party #DA ?
Where their own caucus needs to tweet HZ to get her attention? That shows you how after elected your voice will become irrelevant &amp; Apartheid will prevail...again. 
There is no Nelson Mandela this time &amp; Julius Malema is not your saviour. #SONA2019 https://t.co/Li4m7ZjhZZ"
"28","#SONA2019 relying heavily on SA business sector to pull the country out of the mess we are currently in; but so far there's no talk of incentives to get business excited &amp; involved. Will this lofty talk become reality? Talk of credible boards being installed is also questionable"
"29","These double standards and lofty talk is being seen by the entire world...and when this fails due to the lack of the NEC's full support, the impact on SA will be monumental! #SONA2019 https://t.co/lggqmwgcS6"
"30","Not even a week has gone by since #SONA2019 and there's ""shock by the President"" and his team regarding #Eskom #loadshedding Given there's international surveys that measure a country's state of happiness, what level of 'happiness'are you on?"
"31","The President is clearly out of touch and the reason why so many ""bench-warmers"" were clapping and smiling at the #SONA2019 Unless real consequences are applied to corrupt officials in govn, don't expect any change for good any time soon! #governance #ethics https://t.co/GYumdGh1zD"
"32","Sadly @CyrilRamaphosa you haven't properly addressed the failed #governance of the ANC-led govn, nor have you categorically stated that those accountable for #statecapture WILL be jailed. Your post #SONA2019 message lacks required detail of accountability https://t.co/BmgOqpOnuT"
"33","Can the promises of #SONA2019 be fulfilled? If Ramaphosa governs a capable state with a team of competant Ministers who're not constrained by the past Zuma years, there's a good chance of success. But can this ANC-led govn change, will they? #governance  https://t.co/d9SJolRdCa"
"34","So far, are you inspired by President Ramaphosa's #SONA2019 speach? Will this improve the lives of ALL SA citizens?"
"35","The President speaks of work-related programs that'll benefit ALL SA citizens at the #SONA2019.  Not true, current SA divisive employment legislation continues to separate people on racial grounds...the President's message is not factually correct #governance #ethics #leadership"
"36","Unrealistic promises...then what happens if the tablets are lost, stolen, broken or even sold?  Taxpayers are being fleeced more and more by SA Gov with almost nothing in return. These #SONA2019 plans are not sustainable #governance #leadership https://t.co/6K0QykODOq"
"37","Convictions cannot happen soon enough...wonder how many guilty MPs who are currently sitting at the #SONA2019 will be affected?  Will they be removed from the gravy train with their fancy clothes - to then be jailed with orange overalls? #governance #ethics https://t.co/3MWOEANlbw"
"38","Many more problems ahead; the Competition Amendment Act will add greater burden upon attracting investment, increasing employment &amp; becoming more competitive in business. Ironically, many politicians lauded it's announcement last week in #SONA2019 https://t.co/IXNKjusQhw"
"39","Nothing new; Jacob Zuma said pretty much the same in his SONA addresses over the past 9 ""wasted years"" of his presidency. Sadly many political 'seat warmers' at the #SONA2019 are simply smiling and clapping...it appears to be business as usual!  Watch this space... https://t.co/jdX1J0AMyY"
"40","@CricketAndre @Our_DA #MYANC continues to strive to hold itself to account &amp; deliver freedoms to all people of South Africa - not only a few. We having been striving for this since 1912. As stated in the #SONA2019 speech those found guilty of misconduct will be prosecuted &amp; held 2 account."
"41","Following up on our commitment: Making your future work better. 

The #SONA2019 Debate will be happening today. https://t.co/tsHEzjPnVq"
"42","Besides experience, ""License and own vehicle"" still a biggest issue that holding back most graduated black youth that are seeking jobs even internships...we struggle to get these degrees, where do these people expect us to have cars if they are not giving us jobs? #SONA2019"
"43","Eyes and ears closed completely not keen on #sona2019 who's momy is this though? @ Nelson Mandela Bay https://t.co/vNlC4caXYW"
"44","@eNCA @Enghumbhini Just the other day @MmusiMaimane he promised to deliver the real speech for #SONA2019 now @ANC_WC_Caucus delivered their real #SOPA2019 speech #2019Elections absolutely fascinating <U+0001F602><U+0001F602>"
"45","Since the start of the fifth administration the EPWP has led to the creation of 3.2 million work opportunities at a total of 225 sites across all nine provinces. #SONA2019 #GrowSouthAfrica"
"46","The #SONA2019 has now moved on to infrastructure in #SouthAfrica. The #President discusses the successes over the last year, and #government contributions to the #InfrastructureFund. https://t.co/l0N17JFJUr"
"47","South Africa has extremely high levels of substance abuse, which feeds crime and violence against women and children, it deepens poverty and causes great hardship and pain for families. #SONA2019 https://t.co/ESUXWjMe6q"
"48","This year, we will take a significant step towards universal access to quality health care for all South Africans. After extensive consultation, the #NHIBill will soon be ready for submission to Parliament. #SONA2019 https://t.co/hK4lG16LwB"
"49","The Department of Social Development is to be commended for having honoured Constitutional Court’s directive for phasing out the services of Cash Paymaster Services. - President Ramaphosa #SONA2019"
"50","The structure of our economy was designed to keep assets in a few hands -  President Ramaphosa  #SONA2019"
"51","We are concerned about developments on some campuses this week, especially reports of violence and intimidation. Of particular concern, is the tragic death of #MlungisiMadonsela, a student at the DUT. We extend our deepest condolences to his family.  #SONA2019 https://t.co/PDykW7EYNi"
"52","#SONAinNumbers on a free and democratic South Africa. Here’s what you need to know. #SONA2019 https://t.co/krCJMYiujg"
"53","This year, we will migrate responsibility for ECD centres from Social Development to Basic Education, and proceed with the process towards two years of compulsory ECD for all children before they enter grade 1. - President Ramaphosa #SONA2019"
"54","In the coming year, we will continue to focus on high value agricultural products with export potential such as our fruit, wine and vegetable industries, as well as poultry and red meat. - President Ramaphosa
   #SONA2019"
"55","The construction in northern Cape of the MeerKAT telescope, the world’s largest &amp; most sensitive radio telescope, &amp; the development of the Square Kilometre Array has enabled South Africa to develop capabilities in areas such as space observation and advanced engineering #SONA2019 https://t.co/PU2x4VDMmE"
"56","We recognise, as do all South Africans, that our greatest efforts to end poverty, unemployment and inequality will achieve little unless we tackle state capture and corruption in all its manifestations and in all areas of public life. - President Ramaphosa 
   #SONA2019"
"57","These agreements, which are now being implemented by social partners, aim to create 275,000 additional direct jobs every year. - President Ramaphosa 
   #SONA2019"
"58","Based on our experiences over the past year, and to build on the momentum achieved, we will host the #SAInvest Conference again this year. It is our intention that the investment we generate should be spread out in projects throughout the country. - President Ramaphosa #SONA2019"
"59","Government will lead the campaign to include men and boys as active champions in the struggle against gender-based violence. Ending gender-based violence is an urgent national priority that requires the mobilisation of all SAns &amp; the involvement of all institutions. #SONA2019"
"60","I wish to commend the many South Africans who participated in the work of the Constitutional Review Committee in the dialogue that ensued through the length and the breadth of the country. -  President Ramaphosa
   #SONA2019"
"61","The #President has now directed his attention to housing in #SouthAfrica. Providing more housing and investing in municipalities to fulfill their mandates remains a priority. #SONA2019 https://t.co/KYiWsQOohu"
"62","Stabilising the business processes of the National Student Financial Aid Scheme will also be a priority in the coming year so that it is properly capacitated to carry out its critical role in supporting eligible students. - President Ramaphosa
   #SONA2019"
"63","#SONAinNumbers on Small Business. Here’s what you need to know. #SONA2019 https://t.co/ITqrtUllLm"
"64","To improve the competitiveness of our exports, we will complete the studies that have begun on reducing the costs of electricity, trade, communications, transport and other costs. - President Ramaphosa  #SONA2019"
"65","This is essential in equipping children to succeed in education, in work and in life – and it is possibly the single most important factor in overcoming poverty, unemployment and inequality. - President Ramaphosa #SONA2019"
"66","We are concerned about developments on some campuses this week, especially reports of violence and intimidation. - President Ramaphosa
   #SONA2019"
"67","Government has committed to contribute R100 billion into the Infrastructure Fund over a 10 year period and use this to leverage financing from the private sector and development finance institutions. - President Ramaphosa
   #SONA2019"
"68","This year, we will migrate responsibility for ECD centres from Social Development to Basic Education, and proceed with the process towards two years of compulsory ECD for all children before they enter grade 1. #SONA2019 https://t.co/0DDJ2bbTau"
"69","The potential of agriculture in South Africa for job creation and economic growth still remains largely underdeveloped. - President Ramaphosa 
   #SONA2019"
"70","The Minister of @CommsZA will shortly be issuing policy direction to @ICASA_org for the licensing of the high demand radio frequency spectrum. - President Ramaphosa #SONA2019"
"71","#SONAinNumbers on Human Settlements. Here’s what you need to know. #SONA2019 https://t.co/Pd5OhSQiWu"
"72","As part of our efforts to increase investment, and to foster greater inclusion and create more opportunities, I will soon sign into law the Competition Amendment  - President Ramaphosa #SONA2019"
"73","At the centre of all our efforts to achieve higher and more equitable growth, to draw young people into employment and to prepare our country for the digital age, must be the prioritisation of education and the development of skills. - President Ramaphosa 
   #SONA2019"
"74","Violence against women and children has reached epidemic proportions. Every day, South African women are faced with discrimination, abuse, violence and even death, often by those they are closest to. - President Ramaphosa
   #SONA2019"
"75","President Cyril Ramaphosa delivering his State of the Nation Address in a joint sitting of the opening of Parliament. #SONA2019 https://t.co/eCagH7vH9n"
"76","And with that, #President Cyril Ramaphosa comes to the end of the #SONA2019. #SouthAfrica is more hopeful and looks forward to the future. Read the #President's speech here: https://t.co/gpw4gdgqSn https://t.co/ju0Vz68qN5"
"77","#SONAinNumbers on Social Grants. Here’s what you need to know. #SONA2019 https://t.co/xsCXdyJDtP"
"78","Our democracy has blossomed and flourished, nurtured by the goodwill of the men and women of this great land, who understand only too well at what cost it was attained. But the road towards true freedom is a long one, and we have seen divisions in our society grow. #SONA2019 https://t.co/NtqZEoO2EZ"
"79","#SONA2019 in pics https://t.co/8HE7k9k69X"
"80","Deputy President David Mabuza &amp; spouse arrive at the Africa House, Parliament &amp; are received by Deputy Presiding 8fficers of the National Assembly &amp; the NCOP ahead of President Cyril Ramaphosa’s #SONA2019 on the occasion of a joint sitting of the opening of Parliament. https://t.co/KWhigS2Xz0"
"81","As a water scarce country, we are confronting water crises in many parts of the country. We are developing a comprehensive integrated nation plan that addresses water shortages, ageing infrastructure and poor project implementation. - President Ramaphosa  #SONA2019"
"82","President Cyril Ramaphosa is now addressing free higher education, and the five-year scheme roll-out plan for all qualifying undergraduate students. #SONA2019 https://t.co/2WrCH7VZw8"
"83","List of Speakers for today's #SoNADebate #SONA2019 https://t.co/3xVtSmjK6A"
"84","Through an accelerated programme of land reform, we will work to expand our agricultural output and promote economic inclusion. - President Ramaphosa
   #SONA2019"
"85","More than R1.3 trillion has been invested to build hundreds of schools and two new universities, to build hundreds of thousands of new houses, to electrify more than a million homes, generate new electricity and to expand public transport. - President Ramaphosa #SONA2019"
"86","#SONAinNumbers on Infrastructure Development. Here’s what you need to know. #SONA2019 https://t.co/mS3hm0Fmx2"
"87","President Cyril Ramaphosa will at 13:00 at Tuynhuys, Parliament, Cape Town be signing the Competition Amendment Bill into law. The Bill was approved by National Assembly on 23 Oct 2018 &amp; endorsed by the NCOP on 4 Dec 2018... https://t.co/F90xe9gG9Y #SONA2019 https://t.co/83K1Ezc7pa"
"88","We will deepen the partnership between government and business to realise this vision. Our highest priority this year will be on the introduction of a world class eVisa regime. - President Ramaphosa
   #SONA2019"
"89","In case you missed it: President Cyril Ramaphosa arrives in Parliament and takes the Salute before delivering #SoNA2019 https://t.co/tKChBv1DF5"
"90","This will give the competition authorities the ability to address this problem but more importantly it will open up new opportunities for many South Africans to enter various sectors of the economy and compete on an equal footing. - President Ramaphosa #SONA2019"
"91","#SONA2019 https://t.co/Sk0vT9dHK0"
"92","#SONAinNumbers on Exports. Here’s what you need to know. #SONA2019 https://t.co/ixBWfLx7Bu"
"93","Cabinet welcomes President Cyril Ramaphosa’s #SONA2019, which marks 25  years since the first Joint Sitting of Parliament in the new democratic  South Africa. A majority of South Africans also welcomed the address, which continues to provide hope and renewal.  #PostCabinet"
"94","#SONAinNumbers in the Oceans Economy. Here's what you need to know. #SONA2019 https://t.co/nBqQZYZA63"
"95","List of Speakers for today's debate on the State of the Nation Address 2019 #SONADebate #SONA2019 https://t.co/NXyK3pSKJW https://t.co/a8R3iIpmlC"
"96","President Cyril Ramaphosa is now talking about social grants and the migration of grant beneficiaries. #SONA2019 https://t.co/TCqm7nhcBf"
"97","These enable us to absorb more youth – especially those exiting schools and colleges, and those not in any education, training or employment – into productive economic activity and further work opportunities. - President Ramaphosa 
   #SONA2019"
"98","#PresidentialGolfChallenge  #SONA2019 https://t.co/uZqCqisYK3"
"99","#SONAinNumbers on  Infrastructure Development. Here’s what you need to know. #SONA2019 https://t.co/aitdXLr3fY"
"100","#SONAinNumbers on Education. Here’s what you need to know. #SONA2019 https://t.co/CWFlfPSjiZ"
"101","President Cyril Ramaphosa attends the #PresidentialGolfChallenge which is hosted by the @thedpsa in partnership with the private sector to raise funds for charities designated by the sitting President. #SONA2019 https://t.co/gtqQtfLzSL"
"102","Parliament will today at 14h00 host the debate on State of the Nation Address.  #SONA2019 #SONAReply2019  #SONADebate Watch it live on the Parliamentary Youtube channel: https://t.co/Yt5a8xlgcy"
"103","#SONAinNumbers in tourism. Here's what you need to know. #SONA2019 https://t.co/AKwuyl4kS2"
"104","#SONA2019 https://t.co/OpNuYXse3H"
"105","We are fortunate to have an agricultural sector that is well-developed, resilient and diversified. We intend to use it as a solid foundation to help develop agriculture in our country for the benefit of all. - President Ramaphosa
   #SONA2019"
"106","[Photos] President Cyril Ramaphosa signs the Competition Amendment Bill in Cape Town. Present was Minister Ebrahim Pate, Deputy Minister Madala Masuku and stakeholder representatives from small business owners, blue collar workers &amp; emerging entrepreneurial innovators #SONA2019 https://t.co/UatNVOGGLA"
"107","#SONAinNumbers in investing. Here's what you need to know. #SONA2019 https://t.co/wKFtvQdsW5"
"108","South Africa has one of the most comprehensive and far-reaching social security nets in the world, providing a buffer between poor households and abject poverty. Every month 17.5 million social grants are provided to South Africans. - President Ramaphosa #SONA2019"
"109","“I have engaged with the Independent Electoral Commission and also with the Premiers of all provinces, and intend to proclaim the 8th of May 2019 as the date of the election.” - Cyril Ramaphosa #SONA2019 https://t.co/6jZzdpwxGl"
"110","Every day, South African women are faced with discrimination, abuse, violence and even death, often by those they are closest to. 
   
Over the last year, we have started to address this scourge in a more serious and coordinated way. #SONA2019 https://t.co/veFhsCJXUi"
"111","#SONA2019 in pics https://t.co/oWMaCbaz4s"
"112","#SONAinNumbers in tourism. Here's what you need to know. #SONA2019 https://t.co/RUrzIF3QZp"
"113","Several new technology subjects and specialisations will be introduced, including technical mathematics and technical sciences, maritime sciences, aviation studies, mining sciences, and aquaponics. #SONA2019 #BuildingACapable4IRArmy https://t.co/ywwDqJdVL8"
"114","We have launched the Youth Employment Service #YES, which is placing unemployed youth in paid internships in companies across the economy.  - President Ramaphosa #SONA2019"
"115","Progress is being made in the areas of installation, repair and maintenance jobs, digital and tech jobs like coding and data analytics, as well as global business services. - President Ramaphosa  #SONA2019"
"116","After extensive consultation, the NHI Bill will soon be ready for submission to Parliament. The NHI will enable South Africans to receive free services at the point of care in public and private quality-accredited health facilities. - President Ramaphosa  #SONA2019"
"117","President Cyril Ramaphosa will today reply to the Debate of the State of Nation Address. The President will also use the #SONADebate to provide details on how the government is responding the challenges at Eskom. 
https://t.co/inEb3xYDeT #SONA2019 https://t.co/8Gf1WEbXJA"
"118","I have asked provincial governments to identify investable projects and ensure that we build investment books for each of our nine provinces to present to potential investors. - President Ramaphosa   #SONA2019"
"119","#SONAinNumbers in job creation. Here's what you need to know. #SONA2019 https://t.co/mOMSGtDK9d"
"120","#SONAinNumbers on Small Business. Here’s what you need to know. #SONA2019 https://t.co/O5RojJsDwg"
"121","Realising the magnitude of the challenges in health care, we have established an #NHI &amp; quality improvement War Room in the Presidency consisting of various key departments to address the crisis in the public health system while preparing for implementation of the NHI #SONA2019 https://t.co/Suyvuy1qeZ"
"122","Of particular concern, is the tragic death of Mlungisi Madonsela, a student at the Durban University of Technology. We extend our deepest condolences to his family and call on law enforcement agencies to thoroughly investigate the incident - President Ramaphosa #SONA2019"
"123","#SONAinNumbers on local government. Here’s what you need to know. #SONA2019 https://t.co/iznugPzTKg"
"124","We are focusing our attention, our policies and our programmes on the key parts of the economy that are labour intensive. These include agriculture, tourism and the ocean economy. - President Ramaphosa
   #SONA2019"
"125","Given the key role that small businesses play in stimulating economic activity and employment – and in advancing broad-based empowerment – we are focusing this year on significantly expanding our small business incubation programme. - President Ramaphosa  #SONA2019"
"126","Expected investment in the #OceansEconomy over the next five years is estimated at R3.8 billion by government and R65 billion by the private sector. These investments are expected to create over 100,000 direct jobs &amp; more than 250,000 indirect jobs - President Ramaphosa #SONA2019"
"127","We are resolute that all taverns, shebeens and liquour outlets near school premises must be shut down. #SONA2019 https://t.co/tX2ksT8qaS"
"128","Security of energy supply is an absolute imperative. #Eskom is in crisis and the risks it poses to South Africa are great. It could severely damage our economic and social development ambitions. We need to take bold decisions and decisive action. - President Ramaphosa #SONA2019"
"129","The President is now discussing education and textbooks, and the plans to improve access to textbooks the coming years. As always, #education remains a priority for cabinet. #SONA2019 https://t.co/OktAaeIeli"
"130","Over the next six years, we will provide every school child in South Africa with digital workbooks and textbooks on a tablet device. - President Ramaphosa 
   #SONA2019"
"131","President Cyril Ramaphosa in Parliament in a joint sitting of the two houses on the occasion of his State of the Nation Address. #SONA2019 https://t.co/TSYieD3QvZ"
"132","#PostCabinet In the next week, Finance Minister @tito_mboweni will unpack the financial plan when he delivers his #RSABudget2019 speech. Through the departmental budget votes, Ministers will unpack their operational plans that will give effect to the President’s #SONA2019 https://t.co/oK81KnTPsw"
"133","I applaud the members of the Constitutional Review Committee for remaining focused throughout this period and sifting through the submissions that were made by ordinary South Africans and their organisations. - President Ramaphosa 
   #SONA2019"
"134","As government, as business, as labour and as citizens, let us unite to embrace tomorrow. Let us grasp our collective future with both hands, in the immortal words of the Freedom Charter: side by side, sparing neither strength nor courage. #SONA2019 https://t.co/tzoJnqBr2v"
"135","We have established the Presidential SOE Council, which will provide political oversight and strategic management in order to reform, reposition and revitalise state owned enterprises, so they play their role as catalysts of economic growth and development. #SONA2019 https://t.co/WQZlI1oDJw"
"136","In line with our Framework for Skills for a Changing World, we are expanding the training of both educators and learners to respond to emerging technologies including the internet of things, robotics and artificial intelligence. - President Ramaphosa  #SONA2019"
"137","We are resolute that all taverns, shebeens and liquour outlets near school premises must be shut down. - President Ramaphosa 
   #SONA2019"
"138","To stimulate growth in the economy, to build more businesses and employ more people, we need to find new and larger markets for our goods and services. We will therefore be focusing greater attention on expanding exports. - President Ramaphosa #SONA2019"
"139","In the past year we had 10 million tourists who came to our country. - President Ramaphosa    #SONA2019"
"140","#SONAinNumbers in investing. Here's what you need to know. #SONA2019 https://t.co/oV8NlXMbeO"
"141","Government has committed to contribute R100 billion into the Infrastructure Fund over a 10 year period and use this to leverage financing from the private sector and development finance institutions. #SONA2019 https://t.co/RO3f34e4GQ"
"142","Good morning South Africa. Today Public Service and Administration hosts 2019 Presidential Golf Challenge as part of the State of the Nation Address activities. https://t.co/J4U1wQXW6U #SONA2019"
"143","South Africa still has large areas of underutilised or unproductive land. There are around 250,000 small emerging farmers who are working the land and need support in fully developing their businesses. - President Ramaphosa
   #SONA2019"
"144","#SONAinNumbers on  Education. Here’s what you need to know. #SONA2019 https://t.co/sIXXhnkozs"
"145","[Watch live] At 14h00 President Cyril Ramaphosa responds to debate on State of the Nation Address https://t.co/inEb3xYDeT #SONADebate #SONA2019"
"146","We call on all companies, both big and small, to participate in this initiative and thereby contribute not only to building their business but also to building the economy and fostering social cohesion. - President Ramaphosa
   #SONA2019"
"147","To ensure that we effectively and with greater urgency harness technological change in pursuit of inclusive growth and social development, I have appointed a Presidential Commission on the 4th Industrial Revolution. #SONA2019 #BuildingACapable4IRArmy https://t.co/JjRAEb2ob5"
"148","The revelations emerging from the Zondo Commission of Inquiry into state capture and other commissions are deeply disturbing, for they reveal a breadth and depth of criminal wrongdoing that challenges the very foundation of our democratic state. [<U+0001F4F8>: IOL] #SONA2019 https://t.co/KLiSrdKJBz"
"149","Parliament will today at 14h00 host the debate on State of the Nation Address. #SONA2019 #SONAReply2019 #SONADebate Watch it live on the Parliamentary Youtube channel: https://t.co/pcyuYoR7qO"
"150","Minister in the @DpmeOfficial, Dr Nkosazana @DlaminiZuma Debates the State of the Nation Address #SONA2019 delivered by President Cyril Ramaphosa on 07 February 2019 at the Joint Sitting of Parliament in the National Assembly in Parliament.   
#SONADebate https://t.co/Z4Qf19krkv"
"151","In line with our Framework for Skills for a Changing World, we are expanding the training of both educators and learners to respond to emerging technologies including the internet of things, robotics and artificial intelligence. #SONA2019  #BuildingACapable4IRArmy https://t.co/kXAiihYtUu"
"152","The #SONA2019 has now moved on to education in #SouthAfrica. The #President discusses the successes over the last year, and what young #learners can expect for 2019. https://t.co/8laLpshWxm"
"153","In line with #JobsSummit commitments, we will focus on the export of manufactured goods and trade in services such as business process outsourcing and the remote delivery of medical services. - President Ramaphosa #SONA2019"
"154","President Cyril Ramaphosa has directed his attention to future job creation and investment opportunities through the Oceans Economy. #SONA2019 https://t.co/o1yV4N13Tj"
"155","Over the next six years, we will provide every school child in South Africa with digital workbooks and textbooks on a tablet device. We will start with those schools that have been historically most disadvantaged and are located in the poorest communities. #SONA2019 https://t.co/J3L66L5qcJ"
"156","As part of the expansion of this programme, township digital hubs will be established, initially in four provinces, with more to follow. - President Ramaphosa    #SONA2019"
"157","Since the Operation Phakisa on the Oceans Economy in 2014, we have secured investments of nearly R30 billion and created over 7,000 direct jobs. - President Ramaphosa
   #SONA2019"
"158","As government, we have decided that the requirement for work experience at entry-level in state institutions will be done away with. Our young people need to be given a real head start in the world of work. - President Ramaphosa 
   #SONA2019"
"159","The State of the Nation Address, at the annual opening of Parliament, is an address to the nation by the President of the Republic of South Africa. #SONA2019 https://t.co/sg0I9M7E4o"
"160","Alongside this constitutional review process we tasked the Deputy President to lead the Inter-Ministerial Committee on Land Reform to fast-track #landreform. -President Ramaphosa
   #SONA2019"
"161","Our greatest challenge is to create jobs for the unemployed of today, while preparing workers for the jobs of tomorrow. - President Ramaphosa    #SONA2019"
"162","President Cyril Ramaphosa will respond to the Debate on the State of the Nation Address #SONA2019 on 14 February 2019. #SONADebate #SONAReply https://t.co/SsoSsKIZnA"
"163","To date the majority of grant beneficiaries have been successfully migrated to the South African Post Office, and the old #SASSA cards replaced by new ones. - President Ramaphosa #SONA2019"
"164","The incubation programme provides budding entrepreneurs with physical space, infrastructure and shared services, access to specialised knowledge, market linkages, training in the use of new technologies and access to finance. - President Ramaphosa #SONA2019"
"165","President Cyril Ramaphosa acknowledges the national salute on the step of the House of Parliament ahead of his State of the Nation Address on the occasion of joint sitting of the opening of Parliament. #SONA2019 https://t.co/6r4f9eHgvP"
"166","#SONAinNumbers in investing. Here's what you need to know. #SONA2019 https://t.co/q5ZR9BFynO"
"167","Several new technology subjects and specialisations will be introduced, including technical mathematics and technical sciences, maritime sciences, aviation studies, mining sciences, and aquaponics. - President Ramaphosa #SONA2019"
"168","The action we take now to end corruption and hold those responsible to account will determine the pace and trajectory of the radical social and economic transformation we seek. #SONA2019 https://t.co/MKrpEh58Kq"
"169","[Photo gallery] President Cyril Ramaphosa joins business leaders and other stakeholders at the annual Presidential Golf Challenge at the Atlantic Beach Golf Estate, Melkbosstrand, in the Western Cape. https://t.co/0XhC5mVXvM #SONA2019 https://t.co/QGMVrcbXOq"
"170","We expect these hubs to provide most needed entrepreneurial service to small and medium enterprises in the rural areas and townships but more especially to young people who want to start their businesses. - President Ramaphosa
   #SONA2019"
"171","#SONAinNumbers on revitalising industry. Here’s what you need to know. #SONA2019 https://t.co/B707phq5NB"
"172","South Africa has suddenly become a world-class hydrocarbon exploration destination and will overnight make a trillion rand for the fiscus following the discovery of significant gas #SONA2019 https://t.co/THhtL0m9eX"
"173","The department’s early grade reading studies have demonstrated the impact that a dedicated package of reading resources, expert reading coaches and lesson plans can have on reading outcomes. - President Ramaphosa
   #SONA2019"
"174","This year, we will take a significant step towards universal access to quality health care for all South Africans. - President Ramaphosa
   #SONA2019"
"175","#The President is now discussing sanitation facilities in schools, and the plans to eradicate unsafe and inappropriate sanitation facilities within the next three years. As always, #safety remains a priority for cabinet. #SONA2019 https://t.co/vFyG5QOpph"
"176","#SONAinNumbers in emerging farmers. Here's what you need to know. #SONA2019 https://t.co/tKyF55odPl"
"177","#SONAinNumbers in investing. Here's what you need to know. #SONA2019 https://t.co/V1VnhUMoTY"
"178","The State of the Nation Address, at the annual opening of Parliament, is an address to the nation by the President of the Republic of South Africa. #SONA2019 https://t.co/IfbdzpR8Nk"
"179","Cabinet has adopted a new infrastructure implementation model to address these problems. It will be underpinned by the new Infrastructure Fund announced in September last year. - President Ramaphosa 
   #SONA2019"
"180","#SONAinNumbers in the Oceans Economy. Here's what you need to know. #SONA2019 https://t.co/cVylHTMccT"
"181","he safety of our learners in school is critical for creating a healthy, learning environment. - President Ramaphosa
   #SONA2019"
"182","[Listen] President Cyril Ramaphosa to respond to the SONA debate inputs  https://t.co/E33bHxSHaq #SONADebate2019 #SONA2019"
